Time stamp,Phytoplankton,Zooplankton,Small prey fishes,Small predators,Large predators
747.15717,0.76175094,0.061294027,1.3461363,0.08051921,4.1926603
749.49835,0.7862731,0.05649425,1.3642906,0.0642006,4.164278
751.8395,0.8028149,0.053285744,1.3749701,0.051591177,4.1225324
754.1806,0.8136656,0.051130198,1.3815863,0.041883267,4.0708337
756.5217,0.82102495,0.049584612,1.3859717,0.0344188,4.011892
758.86285,0.8263234,0.048425116,1.3888654,0.028675176,3.9478137
761.20404,0.83021194,0.047573976,1.3907384,0.024246436,3.880214
763.54517,0.83301044,0.04696571,1.3920697,0.02082391,3.810324
765.8863,0.8350464,0.046508797,1.3931544,0.018175336,3.7390718
768.2274,0.8366295,0.046136502,1.3940129,0.01612692,3.6671596
770.56854,0.8379057,0.045837704,1.39459,0.014549103,3.595122
772.9097,0.83887964,0.0456214,1.3949513,0.013345775,3.5233626
775.25085,0.83956635,0.045473795,1.395233,0.01244655,3.4521961
777.592,0.8400562,0.045363586,1.3954846,0.011800398,3.3818605
779.9331,0.84043574,0.04527519,1.3956525,0.011371238,3.312546
782.27423,0.8407153,0.045216855,1.3956957,0.011134671,3.2444015
784.61536,0.8408628,0.045197323,1.3956517,0.011076049,3.1775498
786.95654,0.84087884,0.045209818,1.3955721,0.011189274,3.1120946
789.29767,0.8407985,0.045243282,1.3954493,0.011475986,3.0481303
791.6388,0.8406384,0.04529869,1.3952392,0.011945358,2.9857423
793.9799,0.84037626,0.04538592,1.3949252,0.012614445,2.9250188
796.32104,0.83998394,0.045510884,1.3945203,0.013509125,2.8660505
798.66223,0.83945227,0.045673795,1.3940223,0.014665617,2.8089378
801.00336,0.83877426,0.045878112,1.3933972,0.016132357,2.7538018
803.3445,0.83792156,0.04613482,1.3926022,0.017972874,2.7007833
805.6856,0.83684635,0.046458542,1.3916049,0.020269487,2.6500545
808.02673,0.8354949,0.04686402,1.3903693,0.023128087,2.6018283
810.3679,0.83380795,0.047368348,1.3888365,0.026683856,2.5563731
812.70905,0.83170766,0.047995906,1.3869212,0.031108728,2.5140262
815.0502,0.82908493,0.04878024,1.3845199,0.03661981,2.4752102
817.3913,0.8257972,0.04976349,1.381511,0.043489162,2.4404616
819.7324,0.82166827,0.05099678,1.3777395,0.052053303,2.4104593
822.0736,0.8164788,0.052543983,1.3730028,0.062721506,2.38606
824.41473,0.8099515,0.05448546,1.3670439,0.075977616,2.3683434
826.75586,0.8017391,0.05691904,1.3595484,0.092372835,2.35866
829.097,0.79142827,0.059955847,1.3501346,0.112492144,2.3586862
831.4381,0.7785526,0.06371389,1.3383317,0.1368879,2.3704703
833.77924,0.76262015,0.0683059,1.3235688,0.16595389,2.3964622
836.1204,0.743175,0.07381368,1.3051909,0.19971706,2.4394934
838.46155,0.7199218,0.08024344,1.2825179,0.23753399,2.5026526
840.8027,0.6929066,0.08747091,1.2549868,0.2777264,2.5890038
843.1438,0.6627391,0.095184736,1.2224799,0.31724253,2.701044
845.4849,0.63082355,0.10283973,1.1858783,0.35157335,2.83982
847.8261,0.5995189,0.109657876,1.1476872,0.37527153,3.003788
850.16724,0.5720701,0.114732675,1.1124265,0.38329592,3.1876807
852.50836,0.5521781,0.117233224,1.0862724,0.37294596,3.3820953
854.8495,0.54331493,0.11663252,1.0756216,0.34537828,3.5743835
857.1906,0.5478896,0.11287408,1.0848962,0.305501,3.75116
859.5318,0.5665124,0.1063582,1.1145707,0.2600367,3.901426
861.8729,0.59757906,0.097815745,1.1603065,0.21505208,4.0187154
864.21405,0.6372306,0.08821345,1.213835,0.17447312,4.1014094
866.5552,0.6799791,0.07863784,1.2656424,0.1399982,4.151571
868.8963,0.72019064,0.07008162,1.3083793,0.111791946,4.1733127
871.2375,0.75380343,0.063183665,1.3391011,0.08924004,4.1714654
873.5786,0.7792386,0.058091953,1.3589845,0.071470566,4.150745
875.91974,0.7971337,0.05454313,1.3712254,0.057598513,4.1153574
878.26086,0.8093014,0.052093714,1.3788844,0.046832196,4.0688467
880.602,0.81767184,0.050344378,1.3839062,0.03850152,4.014094
882.9431,0.8236525,0.049049404,1.3872693,0.03205958,3.953378
885.2843,0.8280318,0.04808825,1.3895332,0.027073294,3.888469
887.6254,0.83124197,0.04738108,1.3911331,0.02320785,3.820732
889.96655,0.83361495,0.0468488,1.3923564,0.020207727,3.7512016
892.3077,0.83543044,0.04643025,1.3933017,0.017880231,3.6806705
894.6488,0.8368559,0.046099916,1.3939817,0.016080672,3.609743
896.99,0.83795303,0.045851547,1.3944489,0.0147010125,3.5388782
899.3311,0.83876276,0.04567202,1.3947942,0.013661518,3.4684336
901.67224,0.83935475,0.045539428,1.3950669,0.012903861,3.398685
904.01337,0.8397971,0.045439657,1.3952522,0.012386305,3.3298442
906.3545,0.84011453,0.045372825,1.395331,0.012080194,3.2620873
908.6957,0.8403004,0.045342233,1.3953223,0.011967577,3.1955533
911.0368,0.8403577,0.04534406,1.3952558,0.012039712,3.1303625
913.3779,0.8403074,0.045371883,1.3951311,0.012296155,3.06662
915.71906,0.84016037,0.045425754,1.3949239,0.012744429,3.00442
918.0602,0.83990425,0.04551151,1.3946205,0.013400221,2.94386
920.40137,0.8395203,0.04563381,1.3942218,0.014288229,2.885036
922.7425,0.83899665,0.045795117,1.3937198,0.015443387,2.8280587
925.0836,0.8383195,0.046000276,1.3930869,0.016912911,2.7730496
927.42474,0.8374613,0.046258986,1.3922888,0.018758748,2.7201548
929.76587,0.83637995,0.046584032,1.3912916,0.021061158,2.6695507
932.107,0.8350251,0.04698993,1.3900546,0.023923106,2.6214538
934.4482,0.83333606,0.04749457,1.3885195,0.027476054,2.5761297
936.7893,0.8312348,0.048121892,1.386607,0.031886134,2.5339155
939.13043,0.82861614,0.048903685,1.3842204,0.037362568,2.4952319
941.47156,0.82534504,0.04987988,1.3812394,0.044166297,2.4606066
943.8127,0.82125247,0.051099792,1.3775135,0.052618276,2.4307058
946.1539,0.8161269,0.05262493,1.3728496,0.0631068,2.4063666
948.495,0.8097036,0.054531325,1.3670063,0.07608777,2.3886392
950.8361,0.80165637,0.056910187,1.3596874,0.092076235,2.3788295
953.17725,0.79159886,0.059865154,1.3505325,0.111614786,2.378551
955.5184,0.7790962,0.063505985,1.3391033,0.13520905,2.3897648
957.85956,0.7636933,0.067935854,1.3248774,0.1632097,2.4148033
960.2007,0.7449776,0.0732268,1.3072641,0.1956195,2.4563432
962.5418,0.72268736,0.07938148,1.285656,0.23182486,2.5172937
964.88293,0.69687986,0.08628209,1.2595736,0.27025986,2.6005225
967.22406,0.66813505,0.093637705,1.2289574,0.30810794,2.7083497
969.56525,0.6377631,0.10094379,1.1946481,0.34123522,2.841762
971.9064,0.6079508,0.10748307,1.1589444,0.36463475,2.9993606
974.2475,0.5816995,0.112415545,1.1259431,0.373605,3.1763692
976.5886,0.5624636,0.11495536,1.10125,0.36544973,3.3641667
978.92975,0.55351746,0.114583515,1.0907269,0.34088653,3.5510595
981.2709,0.5571843,0.11120478,1.098542,0.30409637,3.724435
983.61206,0.5741395,0.10515768,1.1253341,0.26114818,3.8735719
985.9532,0.60297865,0.09711757,1.1673466,0.21780281,3.9917338
988.2943,0.6401795,0.087993994,1.2171589,0.17802918,4.076713
990.63544,0.6806854,0.078813076,1.2660503,0.14375249,4.1299267
992.97656,0.7192339,0.070519194,1.3070899,0.11538166,4.1549706
995.31775,0.7519177,0.06373709,1.3372308,0.09249253,4.1563354
997.6589,0.77707607,0.05864185,1.3572158,0.074327685,4.1385565
1000.0,0.79511094,0.055024322,1.3697888,0.06006581,4.1057634
